__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_8_repetition_6,DONE,200,16,0.203,0,411847.2,597448.607,0,67221331968.0,8589930496.0,2175950848.0,0.0,0.01
run_0_repetition_7,DONE,200,4,15.009,0,10623784.895,15359062.9,0,67221331968.0,8589930496.0,2188786435.325,0.0,720.425
run_1_repetition_7,DONE,200,61,13.409,0,9590515.917,13804668.564,0,67221331968.0,8589930496.0,2186971343.768,0.0,642.626
run_2_repetition_7,DONE,200,79,80.241,0,57070844.875,81428435.62,0,67221331968.0,8589930496.0,2199060856.06,0.0,3913.886
run_3_repetition_7,DONE,200,63,15.21,0,11253634.374,15918562.066,0,67221331968.0,8589930496.0,2193036104.205,0.0,729.698
run_4_repetition_7,DONE,200,90,9.006,0,6824286.689,9616075.408,0,67221331968.0,8589930496.0,2201085995.574,0.0,428.334
run_5_repetition_7,DONE,200,53,91.246,0,67773067.503,94679841.505,0,67221331968.0,8589930496.0,2191058514.725,0.0,4440.843
run_6_repetition_7,DONE,200,66,0.403,0,602185.885,834678.535,0,67221331968.0,8589930496.0,2191911936.0,0.0,8.655
run_7_repetition_7,DONE,200,52,29.016,0,22283185.759,30765538.965,0,67221331968.0,8589930496.0,2202263607.728,0.0,1402.804
run_8_repetition_7,DONE,200,16,0.202,0,457901.878,629739.048,0,67221331968.0,8589930496.0,2201346048.0,0.0,0.01
run_0_repetition_8,DONE,200,4,15.41,0,12113641.854,16609057.669,0,67221331968.0,8589930496.0,2199745600.81,0.0,736.952
run_1_repetition_8,DONE,200,61,13.008,0,10341869.633,14126559.409,0,67221331968.0,8589930496.0,2196108547.821,0.0,620.46
run_2_repetition_8,DONE,200,79,83.235,0,65637528.676,88983450.137,0,67221331968.0,8589930496.0,2188170813.244,0.0,4043.014
run_3_repetition_8,DONE,200,63,18.411,0,15019151.5,20208037.548,0,67221331968.0,8589930496.0,2197305561.872,0.0,783.536
run_4_repetition_8,DONE,200,90,9.406,0,7876037.982,10560522.013,0,67221331968.0,8589930496.0,2189287591.184,0.0,444.933
run_5_repetition_8,DONE,200,53,95.849,0,78706178.704,104736761.44,0,67221331968.0,8589930496.0,2193784142.237,0.0,4668.778
run_6_repetition_8,DONE,200,66,0.403,0,665249.419,879165.226,0,67221331968.0,8589930496.0,2187234304.0,0.0,8.831
run_7_repetition_8,DONE,200,52,26.811,0,22752514.593,29969666.006,0,67221331968.0,8589930496.0,2194326136.471,0.0,1292.04
run_8_repetition_8,DONE,200,16,0.202,0,504849.164,662810.338,0,67221331968.0,8589930496.0,2178726570.667,0.0,0.009
run_0_repetition_9,DONE,200,4,18.613,0,16061176.579,21026522.969,0,67221331968.0,8589930496.0,2190927807.326,0.0,893.92
run_1_repetition_9,DONE,200,61,13.009,0,11400752.574,14874092.925,0,67221331968.0,8589930496.0,2191010433.91,0.0,622.439
run_2_repetition_9,DONE,200,79,82.842,0,71970595.935,93273099.565,0,67221331968.0,8589930496.0,2288722382.769,0.0,4217.292
run_3_repetition_9,DONE,200,63,15.61,0,14059113.729,18103938.958,0,67221331968.0,8589930496.0,2222019123.2,0.0,749.718
run_4_repetition_9,DONE,200,90,9.406,0,8656973.743,11114698.304,0,67221331968.0,8589930496.0,2215303544.163,0.0,448.279
run_5_repetition_9,DONE,200,53,98.85,0,89103694.461,113645684.681,0,67221331968.0,8589930496.0,2198144850.581,0.0,4811.127
run_6_repetition_9,DONE,200,66,0.402,0,729592.242,924913.793,0,67221331968.0,8589930496.0,2187456512.0,0.0,8.507
run_7_repetition_9,DONE,200,52,26.815,0,24940930.497,31525102.651,0,67221331968.0,8589930496.0,2192286328.471,0.0,1297.547
run_8_repetition_9,DONE,200,16,0.203,0,553148.763,697140.162,0,67221331968.0,8589930496.0,2173640704.0,0.0,0.009
run_0_repetition_10,DONE,200,4,15.21,0,14436150.339,18150944.308,0,67221331968.0,8589930496.0,2184394331.897,0.0,731.48
run_1_repetition_10,DONE,200,61,13.209,0,12654647.273,15864910.98,0,67221331968.0,8589930496.0,2189434337.882,0.0,631.057
run_2_repetition_10,DONE,200,79,87.453,0,82916225.013,103355881.117,0,67221331968.0,8589930496.0,2179904654.287,0.0,4249.003
run_3_repetition_10,DONE,200,63,15.41,0,15144744.024,18771102.11,0,67221331968.0,8589930496.0,2178691694.177,0.0,739.652
run_4_repetition_10,DONE,200,90,9.007,0,9053658.818,11192002.875,0,67221331968.0,8589930496.0,2177510465.362,0.0,426.56
run_5_repetition_10,DONE,200,53,97.449,0,95627111.377,117546013.998,0,67221331968.0,8589930496.0,2182807828.417,0.0,4745.041
run_6_repetition_10,DONE,200,66,0.403,0,793100.803,969826.822,0,67221331968.0,8589930496.0,2180296704.0,0.0,9.166
run_7_repetition_10,DONE,200,52,26.816,0,27098759.323,33051914.925,0,67221331968.0,8589930496.0,2188837496.471,0.0,1295.866
run_8_repetition_10,DONE,200,16,-1,0,600722.642,730797.596,0,67221331968.0,8589930496.0,2176761856.0,0.0,-1
run_0_repetition_11,DONE,200,4,14.808,0,15270615.458,18537381.757,0,67221331968.0,8589930496.0,2181639599.158,0.0,707.685
run_1_repetition_11,DONE,200,61,17.211,0,17774987.336,21520031.909,0,67221331968.0,8589930496.0,2176792808.727,0.0,731.88
run_2_repetition_11,DONE,200,79,87.845,0,90326825.405,108804255.947,0,67221331968.0,8589930496.0,2180305676.19,0.0,4273.479
run_3_repetition_11,DONE,200,63,15.409,0,16406094.944,19663919.029,0,67221331968.0,8589930496.0,2184236796.759,0.0,740.455
run_4_repetition_11,DONE,200,90,11.207,0,12099784.247,14467683.183,0,67221331968.0,8589930496.0,2186812310.069,0.0,471.166
run_5_repetition_11,DONE,200,53,92.446,0,98106870.76,116745144.093,0,67221331968.0,8589930496.0,2180209081.379,0.0,4496.731
run_6_repetition_11,DONE,200,66,0.402,0,856140.151,1014301.779,0,67221331968.0,8589930496.0,2176072704.0,0.0,8.386
run_7_repetition_11,DONE,200,52,28.616,0,31183956.201,36856828.464,0,67221331968.0,8589930496.0,2188862456.938,0.0,1379.335
run_8_repetition_11,DONE,200,16,0.202,0,648261.135,764385.346,0,67221331968.0,8589930496.0,2178658304.0,0.0,0.007
run_0_repetition_12,DONE,200,4,14.81,0,16475029.312,19388428.248,0,67221331968.0,8589930496.0,2183522196.211,0.0,708.774
run_1_repetition_12,DONE,200,61,13.209,0,14809527.071,17387947.869,0,67221331968.0,8589930496.0,2184028882.824,0.0,632.82
